title,imageUrl,affiliateLink,price,category,description,source
"FocusLog - Developer Productivity Time Tracker","https://images.unsplash.com/photo-1506784983877-45594efa4cbe?auto=format&fit=crop&w=600&q=80","https://focuslogger.vercel.app/","499","Personal Care","Automatic time tracker for developers and freelancers. Privacy first: zero timers to start, all data stored locally on your device.","web-app"
"Google Maps Photo Grabber - Bulk Media Downloader","https://images.unsplash.com/photo-1524661135-423995f22d0b?auto=format&fit=crop&w=600&q=80","https://reviewphotograbber.com","299","Home","Extract and bulk-download high-resolution photos and reviews from any Google Maps place list with a single click.","chrome-extension"
"JD Saver - LinkedIn Job Description Exporter","https://images.unsplash.com/photo-1486312338219-ce68d2c6f44d?auto=format&fit=crop&w=600&q=80","https://chromewebstore.google.com/detail/jd-saver-%E2%80%94-linkedin-job-d/oeaimphcdoejljoagbeedpekgachmlpd","399","Personal Care","Save LinkedIn job descriptions as PDF or Markdown with one click. Features an integrated job application tracker.","chrome-extension"
"Call.io - Anonymous WebRTC Video Calling","https://images.unsplash.com/photo-1516321318423-f06f85e504b3?auto=format&fit=crop&w=600&q=80","https://callrandom.vercel.app/","199","Home","Fully anonymous WebRTC video and audio calling. No registration, no user accounts, no tracking. Just generate a secure link and share it.","web-app"
"MedScribe AI - Intelligent Clinical Assistant","https://images.unsplash.com/photo-1576091160399-112ba8d25d1d?auto=format&fit=crop&w=600&q=80","https://medscribe-ai-ruby.vercel.app/","1299","Health","AI-powered medical scribe assistant built for medical practitioners. Listens to consultations and generates structured clinical summaries.","web-app"
"KisanSathi - Smart Farmer Advisor Platform","https://images.unsplash.com/photo-1592982537447-7440770cbfc9?auto=format&fit=crop&w=600&q=80","https://kisansathi.pages.dev/","0","Health","An agricultural intelligence portal helping local farmers identify plant diseases, get weather advisories, and track market crop rates.","web-app"
"CrossPostly - Multi-Platform Content Publisher","https://images.unsplash.com/photo-1611162617213-7d7a39e9b1d7?auto=format&fit=crop&w=600&q=80","https://crosspostly.pages.dev/","799","Personal Care","Write once, publish everywhere. Post your updates, blogs, and articles to LinkedIn, X (Twitter), Dev.to, and Medium simultaneously.","web-app"
"Garam Softwares - Indie Product Suite","https://images.unsplash.com/photo-1555066931-4365d14bab8c?auto=format&fit=crop&w=600&q=80","https://garamsoftwares.vercel.app/","1499","Home","The centralized administrative hub and digital product showcase for premium tools shipped by Garam Softwares.","web-app"
"Garam JSON Formatter & Parser","https://images.unsplash.com/photo-1542831371-29b0f74f9713?auto=format&fit=crop&w=600&q=80","https://jso-nformatter-ebon.vercel.app/","99","Personal Care","Clean, lightning-fast JSON formatter, validator, and tree-viewer built for developers.","web-app"
"Garam Resume Builder - Professional Templates","https://images.unsplash.com/photo-1586281380349-632531db7ed4?auto=format&fit=crop&w=600&q=80","https://resume-builder-fawn-two.vercel.app/","249","Personal Care","Build high-impact, ATS-friendly professional resumes in minutes. Export cleanly to PDF.","web-app"
"Garam GST Calculator - Instant Tax Estimation","https://images.unsplash.com/photo-1554224155-8d04cb21cd6c?auto=format&fit=crop&w=600&q=80","https://gs-tcalculator.vercel.app/","0","Home","Calculate Goods and Services Tax (GST) instantly with customizable percentage slabs for businesses.","web-app"
"Garam EMI Calculator - Loan Amortization","https://images.unsplash.com/photo-1560518883-ce09059eeffa?auto=format&fit=crop&w=600&q=80","https://emicalculator-vert.vercel.app/","0","Home","Plan your loans smarter. Calculate Equated Monthly Installments (EMI) and view full interest schedules.","web-app"
"NIAMT Racing - Institutional Sports Portal","https://images.unsplash.com/photo-1568605117036-5fe5e7bab0b7?auto=format&fit=crop&w=600&q=80","https://niamtracing.vercel.app/","0","Home","Official web portal for NIAMT's Formula Student team. Features race statistics, engineering telemetry, and sponsor details.","web-app"
"Garam Secure Password Generator","https://images.unsplash.com/photo-1563986768609-322da13575f3?auto=format&fit=crop&w=600&q=80","https://password-generator-tau-sooty.vercel.app/","0","Personal Care","Generate cryptographically secure, high-entropy random passwords to protect your digital accounts.","web-app"
"AutoSessionLogger - Automated Coding Logs","https://images.unsplash.com/photo-1555066931-4365d14bab8c?auto=format&fit=crop&w=600&q=80","https://github.com/phulkeshwar/AutoSessionLogger","199","Personal Care","Automate your session logging and activity tracking with simple background hooks.","web-app"
"RemoveBG Web - High-Speed Background Remover","https://images.unsplash.com/photo-1561070791-26c113006238?auto=format&fit=crop&w=600&q=80","https://github.com/phulkeshwar/RemoveBG_Web","299","Personal Care","Upload any image and remove its background instantly using local WebGL-powered edge detection.","web-app"
"RenewRadar - Subscription Tracker & Alerts","https://images.unsplash.com/photo-1454165804606-c3d57bc86b40?auto=format&fit=crop&w=600&q=80","https://github.com/phulkeshwar/RenewRadar","149","Home","Keep track of your SaaS subscriptions and domain renewals. Get automated reminder digests.","web-app"
"TrackTix - Smart Event Ticketing System","https://images.unsplash.com/photo-1540575467063-178a50c2df87?auto=format&fit=crop&w=600&q=80","https://github.com/phulkeshwar/TrackTix","599","Home","Secure, lightweight event ticket booking and verification dashboard using QR codes.","web-app"
"Google Map Review Extractor - Lead Gen Tool","https://images.unsplash.com/photo-1524661135-423995f22d0b?auto=format&fit=crop&w=600&q=80","https://github.com/phulkeshwar/GoogleMapReviewPostExtratorprj","799","Personal Care","Extract reviews, ratings, and contact info from Google Maps places automatically into CSV reports.","chrome-extension"
"Image Extractor Pro - Bulk Image Downloader","https://images.unsplash.com/photo-1542831371-29b0f74f9713?auto=format&fit=crop&w=600&q=80","https://mediaextractorpro.vercel.app/","199","Personal Care","Inspect websites, extract all image assets, filter by size, and batch-download them as a single ZIP file.","chrome-extension"
"Aura Habit Tracker - Mindful Routine Planner","https://images.unsplash.com/photo-1517842645767-c639042777db?auto=format&fit=crop&w=600&q=80","https://github.com/phulkeshwar/Aura-Habit-Tracker","99","Health","Track your habits, view streak analytics, and build long-term positive routines.","web-app"
"ReliefLink AI - Natural Disaster Aid Router","https://images.unsplash.com/photo-1488521787991-ed7bbaae773c?auto=format&fit=crop&w=600&q=80","https://github.com/phulkeshwar/ReliefLink-AI","0","Health","Disaster relief router that automatically coordinates emergency supplies and volunteer allocations.","web-app"
"GaramBites - Local Food Delivery Engine","https://images.unsplash.com/photo-1565299624946-b28f40a0ae38?auto=format&fit=crop&w=600&q=80","https://github.com/phulkeshwar/FoodDeleveryApp","499","Pantry","Full-stack food ordering application with live driver location tracking and multi-restaurant menus.","web-app"
"CortexAI - Dynamic LLM Chat Client","https://images.unsplash.com/photo-1677442136019-21780efad99a?auto=format&fit=crop&w=600&q=80","https://github.com/phulkeshwar/CortexAI","399","Personal Care","Beautiful, markdown-supported chatbot UI supporting model swapping across OpenAI, Claude, and Gemini APIs.","web-app"
"AllInOneMall - Supermarket Multi-Storefront","https://images.unsplash.com/photo-1542838132-92c53300491e?auto=format&fit=crop&w=600&q=80","https://github.com/phulkeshwar/AllInOneMall","899","Pantry","E-commerce directory allowing local supermarkets to launch online branches instantly.","web-app"
"ConflictScan - Git Merge Conflict Checker","https://images.unsplash.com/photo-1618401471353-b98aedd07871?auto=format&fit=crop&w=600&q=80","https://github.com/phulkeshwar/ConflictScan","299","Personal Care","Scan your repositories for unresolved merge conflicts and format-broken diff tags before committing.","web-app"
"Skillmart - Freelancer Gigs Marketplace","https://images.unsplash.com/photo-1454165804606-c3d57bc86b40?auto=format&fit=crop&w=600&q=80","https://github.com/phulkeshwar/Skillmart","699","Personal Care","Indie marketplace connecting student engineers and designers with real client contracts.","web-app"
"GoLex - Smart Legal Document Scaffolder","https://images.unsplash.com/photo-1589829545856-d10d557cf95f?auto=format&fit=crop&w=600&q=80","https://github.com/phulkeshwar/SIH-UIP-golex-main","999","Home","AI legal assistant designed for Smart India Hackathon. Generates and validates contracts.","web-app"
"YTDL Max - High-Speed Video Downloader","https://images.unsplash.com/photo-1611162617213-7d7a39e9b1d7?auto=format&fit=crop&w=600&q=80","https://github.com/phulkeshwar/ytdl-max-downloader","199","Personal Care","High-speed audio/video downloader for web publishers. Supports multi-threading and MP3 extraction.","web-app"
